epoch,train_loss,train_acc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_eer,val_loss
1,0.25621,0.82584,0.72877,1.0,0.6577,0.79351,0.98207,0.07263,0.51614
2,0.1551,0.9055,0.88964,0.99511,0.86497,0.92549,0.98341,0.06477,0.1806
3,0.13438,0.91746,0.94388,0.97953,0.94901,0.96403,0.98679,0.05947,0.15911
4,0.10489,0.93501,0.96109,0.97816,0.97262,0.97538,0.9921,0.04907,0.12348
5,0.09711,0.93955,0.94463,0.99299,0.93673,0.96404,0.99357,0.0378,0.1144
6,0.08887,0.94729,0.96184,0.9879,0.96364,0.97562,0.99284,0.04173,0.10965
7,0.08043,0.95478,0.93266,0.99743,0.91737,0.95573,0.99409,0.03596,0.12437
8,0.06878,0.96069,0.73027,1.0,0.65958,0.79488,0.99538,0.02768,0.54623
9,0.05853,0.96762,0.94426,0.99697,0.93248,0.96365,0.99468,0.0309,0.11486
10,0.05663,0.9689,0.98092,0.98453,0.9915,0.988,0.99689,0.01822,0.09213
11,0.04978,0.97177,0.97681,0.9872,0.98347,0.98534,0.99441,0.03341,0.10785
12,0.04019,0.97663,0.93528,0.99042,0.92729,0.95782,0.99027,0.0431,0.14941
13,0.04133,0.97791,0.96895,0.99417,0.96648,0.98013,0.99748,0.02721,0.06703
14,0.03199,0.98238,0.97755,0.9914,0.98017,0.98575,0.99373,0.02536,0.09621
15,0.03699,0.98022,0.96034,0.99557,0.9542,0.97445,0.99563,0.02375,0.10194
16,0.03084,0.98357,0.98279,0.9938,0.98442,0.98909,0.99732,0.01798,0.05708
17,0.0252,0.9866,0.98504,0.99102,0.99008,0.99055,0.99625,0.01798,0.07741
18,0.02785,0.98525,0.97381,0.97495,0.99245,0.98362,0.98564,0.0431,0.23854
19,0.02325,0.9882,0.97456,0.99043,0.97734,0.98384,0.99249,0.03137,0.12002
20,0.01889,0.98987,0.98391,0.99054,0.98914,0.98984,0.99393,0.02905,0.11581
21,0.02221,0.98812,0.98653,0.99011,0.99292,0.99151,0.99545,0.01774,0.08212
22,0.01592,0.99179,0.97681,0.99614,0.9745,0.9852,0.99726,0.01543,0.06675
23,0.01653,0.99187,0.98167,0.99098,0.98584,0.9884,0.99432,0.02791,0.09831
24,0.0136,0.99226,0.98092,0.99051,0.98536,0.98793,0.99382,0.02532,0.11205
25,0.01278,0.99322,0.97606,0.99518,0.9745,0.98473,0.9957,0.02143,0.08856
26,0.01407,0.99274,0.97905,0.99759,0.97592,0.98663,0.99702,0.0159,0.0797
27,0.00511,0.99745,0.98504,0.98779,0.99339,0.99058,0.99401,0.02096,0.12078
28,0.01203,0.9941,0.98429,0.98641,0.99386,0.99012,0.99416,0.02607,0.14386
29,0.01005,0.9949,0.98691,0.98966,0.99386,0.99176,0.99567,0.01774,0.08789
30,0.00766,0.99641,0.98691,0.99058,0.99292,0.99175,0.99671,0.0203,0.0831
31,0.00701,0.99665,0.98504,0.98688,0.99433,0.99059,0.99268,0.02191,0.13146
32,0.00671,0.99673,0.98765,0.99013,0.99433,0.99223,0.99379,0.02191,0.10787
